Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,NOC Code
Newfoundland and Labrador,Global Talent Stream,Veristart Technologies Inc.,"St. John's,  NL A1H 1A2",Software engineers and designers,Unknown,1,1,2173
Newfoundland and Labrador,High Wage,91521 Newfoundland & Labrador Inc.,"Paradise,  NL A1L 3B3",Carpenters,Unknown,1,2,7271
Newfoundland and Labrador,High Wage,Eastern Regional Health Authority,"Mount Pearl,  NL A1N 3J5",Specialist physicians,Unknown,1,1,3111
Newfoundland and Labrador,High Wage,Genoa Design International,"Mt. Pearl,  NL A1N 4R6",Drafting technologists and technicians,Unknown,3,5,2253
Newfoundland and Labrador,High Wage,Newfoundland And Labrador Health Services,"Grand Falls-Windsor,  NL A2A 1Y4",Specialist physicians,Unknown,1,1,3111
Newfoundland and Labrador,High Wage,Physio & Co. (2021) Ltd.,"Bay Bulls,  NL A0A 1C0",Physiotherapists,Unknown,1,2,3142
Newfoundland and Labrador,High Wage,Western Regional Health Authority,"Corner Brook,  NL A2H 6J7",Specialist physicians,Unknown,3,3,3111
Newfoundland and Labrador,Low Wage,67527 Newfoundland And Labrador Limited,"Come-By-Chance,  NL A0B 1N0",Cooks,Unknown,1,4,6322
Newfoundland and Labrador,Low Wage,80707 Newfoundland And Labrador Inc.,"Corner Brook,  NL A2H 6P4",Cooks,Unknown,1,1,6322
Newfoundland and Labrador,Low Wage,91521 Newfoundland & Labrador Inc.,"Paradise,  NL A1L 3B3",Construction trades helpers and labourers,Unknown,1,1,7611
Newfoundland and Labrador,Low Wage,Allens Fisheries Limited,"Benoits Cove,  NL A0L 1A0",Labourers in fish and seafood processing,Unknown,1,40,9618
Newfoundland and Labrador,Low Wage,Aqua Crab Producers Inc,"Aquaforte,  NL A0A 1A0",Fish and seafood plant workers,Unknown,1,23,9463
Newfoundland and Labrador,Low Wage,Barry Group Inc,"Corner Brook,  NL A2H 3E9",Fish and seafood plant workers,Unknown,2,60,9463
